气 ? 	概  慨
粗 ? 	犷  旷
杀 ? 	戳  戮
痉 ? 	孪  挛
修 ? 	葺  茸
迁 ? 	徒  徙
? 伏 	蛰  蜇
? 款 	赃  脏
白 ? 	皙  晰
陷 ? 	阱  进
通 ? 	辑  缉
? 热 	躁  燥
? 气 	怄  鸥
拥 ? 	戴  带
? 写 	誊  誉
? 职 	殉  徇
煤 ? 	炭  碳
? 品 	赝  膺
发 ? 	韧  轫
追 ? 	溯  朔
装 ? 	帧  祯
? 商 	恰  洽
梦 ? 	餍  魇
? 杀 	撕  厮
? 怀 	湎  缅
? 工 	峻  竣
? 如 	犹  尤
? 耗 	噩  恶
喝 ? 	采  彩
肖 ? 	像  象
? 谐 	诙  恢
九 ? 	州  洲
打 ? 	腊  蜡
? 俩 	伎  技
? 业 	肆  肄
针 ? 	贬  砭
震 ? 	憾  撼
寒 ? 	暄  喧
? 射 	辐  幅
? 辱 	沾  玷
起 ? 	迄  讫
更 ? 	叠  迭
吉 ? 	祥  详
? 立 	伫  贮
? 纹 	绉  皱
? 悍 	骠  剽
? 典 	金  经
? 巴 	嗑  磕
? 弈 	搏  博
松 ? 	弛  驰
惊 ? 	愕  谔
? 子 	栗  粟
? 面 	卤  囟
? 政 	羸  嬴
照 ? 机 	相  像
暖 烘 ? 	烘  哄
? 标 系 	坐  座
? 右 铭 	坐  座
美 ? 美 奂 	轮  仑
出 ? 不 意 	奇  其
世 外 桃 ? 	园  源
自 我 吹 ? 	嘘  吁
亭 ? 玉 立 	亭  婷
痛 心 ? 首 	疾  嫉
历 ? 在 目 	厉  历
痴 心 ? 想 	妄  枉
望 洋 ? 叹 	兴  心
桃 ? 满 园 	李  梨
坐 ? 其 成 	想  享
终 ? 大 事 	生  身
口 ? 笔 伐 	诛  株
再 接 再 ? 	励  厉
口 干 舌 ? 	躁  燥
爱 不 ? 手 	失  释
义 无 ? 顾 	返  反
因 噎 ? 食 	废  费
兵 ? 马 乱 	荒  慌
彬 彬 有 ? 	礼  理
当 ? 不 让 	仁  人
咄 ? 逼 人 	绌  咄
水 ? 不 通 	泻  泄
深 明 大 ? 	义  意
不 能 自 ? 	己  已
旁 ? 博 引 	征  证
迫 不 ? 待 	及  急
一 如 ? 往 	继  既
鼎 ? 相 助 	立  力
夸 夸 ? 谈 	其  奇
谈 笑 风 ? 	声  生
? 疏 学 浅 	才  材
宽 ? 大 量 	宏  弘
不 可 思 ? 	异  议
不 ? 思 索 	加  假
司 空 见 ? 	怪  惯
不 寒 而 ? 	立  栗
因 地 ? 宜 	制  治
一 笔 ? 销 	钩  勾
汗 流 ? 背 	浃  夹
有 ? 无 恐 	持  恃
金 榜 ? 名 	提  题
开 源 ? 流 	节  截
除 旧 ? 新 	补  布
变 ? 莫 测 	幻  换
? 棋 	奕  弈
本 ? 	记  纪
通 ? 	碟  牒
? 踞 	萁  箕
针 ? 	炙  灸
? 贯 	藉  籍
神 ? 	纸  祇
毗 ? 	临  邻
? 月 子 	坐  做
? 来 品 	泊  舶
? 车 室 	侯  候
挖 墙 ? 	角  脚
? 信 片 	明  名
入 场 ? 	券  卷
沆 ? 一 气 	泄  瀣
无 ? 可 乘 	隙  细
闲 情 逸 ? 	致  志
认 罪 ? 法 	服  伏
水 性 ? 花 	扬  杨
? 毒 生 灵 	荼  涂
恹 ? 欲 睡 	恹  厌
要 言 不 ? 	烦  繁
? 衷 共 济 	合  和
? 兵 秣 马 	厉  励
茫 无 头 ? 	序  绪
长 ? 短 叹 	嘘  吁
一 ? 黄 土 	杯  抔
草 ? 人 命 	菅  管
? 炙 人 口 	脍  烩
? 揉 造 作 	矫  娇
一 ? 莫 展 	筹  愁
言 简 意 ? 	赅  骇
不 ? 而 走 	径  胫
黄 ? 美 梦 	粱  梁
萎 ? 不 振 	糜  靡
? 心 沥 血 	沤  呕
趋 之 若 ? 	鹜  骛
